date,f1,f2,f3,f4,f5,f6,f7,f8
1976-04-01,-0.121390565,0.080737709,-0.09145882,0.176730223,0.11091162,0.166389728,0.001604172,-0.246557765
1976-05-01,-0.114590055,0.040868195,0.017995022,-0.227860811,0.284718194,0.005792973,0.055154441,0.212583682
1976-06-01,0.002839385,0.087042888,-0.020663416,-0.091378749,0.088486827,-0.21486006,0.146431796,-0.075313401
1976-07-01,-0.105849391,0.059532717,-0.082923455,0.174409231,0.05341467,0.054169342,0.005719488,0.087269923
1976-08-01,-0.046957912,0.016437635,-0.107439866,0.1331335,0.092411205,0.084050047,0.19459141,0.00335773
1976-09-01,-0.130584208,-0.013569898,0.047543772,0.188711515,0.135517007,0.072404001,-0.096711549,-0.06782484
1976-10-01,0.130933433,-0.108454124,-0.034948609,0.139018688,0.094857971,0.09207823,0.276987069,-0.245120881
1976-11-01,-0.381156568,-0.072312051,-0.162313095,0.15597229,-0.057493001,0.060677261,0.253730909,0.11273183
1976-12-01,-0.322680062,0.10018963,-0.073752701,0.350809749,-0.028321784,-0.01602407,0.130869941,-0.033674487
1977-01-01,-0.0897405,-0.075424232,0.060228737,-0.065965726,0.269434524,0.021100361,-0.026296918,-0.077928549
1977-02-01,-0.465035631,0.068603113,0.126514566,-0.011769297,0.189927362,0.172211383,0.259571814,-0.148338724
1977-03-01,-0.488963121,-0.337238727,-0.235789656,0.162058169,0.142877479,0.073654865,0.023015625,-0.019994196
1977-04-01,-0.358239739,-0.114066596,0.016406415,0.174270249,0.151355829,0.235715817,0.078475769,0.011036611
1977-05-01,-0.378794153,-0.260760104,-0.019047425,-0.014628182,0.14983102,-0.092345373,0.004400722,-0.10349453
1977-06-01,-0.335729123,-0.153088745,0.071559627,0.189380413,0.069599199,0.085950247,0.073944137,-0.008907949
1977-07-01,-0.224694093,-0.129726519,0.083645426,0.185459106,0.211137228,-0.02270092,0.020876945,-0.051694876
1977-08-01,-0.179860499,-0.279113767,0.161966915,0.004289096,0.221613257,0.013807457,0.044185278,-0.111797651
1977-09-01,-0.313700428,-0.249606273,0.132684244,0.06829017,0.056112995,0.078396209,0.006553292,-0.012798788
1977-10-01,-0.346953008,-0.233520462,0.166923394,-0.019225011,0.196702027,0.030925378,0.13521269,-0.038033364
1977-11-01,-0.30599162,-0.053676736,0.291396716,0.215270472,0.113194815,0.102511284,0.026551663,0.044296842
